order_id,order_number,customer_id,email,total_price,currency,created_at,updated_at,financial_status,fulfillment_status
6254962082007,1001,,egnition_sample_7575@egnition.com,40.0,PKR,2025-11-08T05:58:29-05:00,2025-11-08T05:59:30-05:00,pending,
6254962114775,1002,,egnition_sample_4816@egnition.com,408.95,PKR,2025-11-08T05:58:32-05:00,2025-11-08T05:59:33-05:00,paid,
6254962147543,1003,,egnition_sample_0047@egnition.com,229.0,PKR,2025-11-08T05:58:34-05:00,2025-11-08T05:59:35-05:00,pending,
6254962180311,1004,,egnition_sample_0385@egnition.com,399.95,PKR,2025-11-08T05:58:37-05:00,2025-11-08T05:59:38-05:00,refunded,
6254962278615,1005,,egnition_sample_0376@egnition.com,239.95,PKR,2025-11-08T05:58:40-05:00,2025-11-08T05:59:40-05:00,paid,
6254963097815,1006,,egnition_sample_2143@egnition.com,139.0,PKR,2025-11-08T05:59:58-05:00,2025-11-08T06:00:59-05:00,refunded,
6254963163351,1007,,egnition_sample_4833@egnition.com,230.0,PKR,2025-11-08T06:00:01-05:00,2025-11-08T06:01:01-05:00,refunded,
6254963261655,1008,,egnition_sample_7575@egnition.com,627.95,PKR,2025-11-08T06:00:04-05:00,2025-11-08T06:01:05-05:00,pending,
6254963392727,1009,,egnition_sample_0464@egnition.com,209.95,PKR,2025-11-08T06:00:07-05:00,2025-11-08T06:01:07-05:00,pending,
6254963523799,1010,,egnition_sample_0376@egnition.com,159.95,PKR,2025-11-08T06:00:09-05:00,2025-11-08T06:01:10-05:00,pending,
6254964474071,1011,,egnition_sample_0376@egnition.com,518.9,PKR,2025-11-08T06:01:28-05:00,2025-11-08T06:02:29-05:00,pending,
6254964506839,1012,,egnition_sample_2143@egnition.com,90.0,PKR,2025-11-08T06:01:31-05:00,2025-11-08T06:02:31-05:00,pending,
6254964539607,1013,,egnition_sample_4833@egnition.com,160.0,PKR,2025-11-08T06:01:33-05:00,2025-11-08T06:02:34-05:00,refunded,
6254964605143,1014,,egnition_sample_4816@egnition.com,339.9,PKR,2025-11-08T06:01:36-05:00,2025-11-08T06:02:37-05:00,refunded,
6254964637911,1015,,egnition_sample_0047@egnition.com,190.0,PKR,2025-11-08T06:01:39-05:00,2025-11-08T06:02:39-05:00,paid,
6254965653719,1016,8473160024279.0,egnition_sample_7575@egnition.com,309.9,PKR,2025-11-08T06:02:57-05:00,2025-11-08T06:03:58-05:00,refunded,
6254965686487,1017,8473159762135.0,egnition_sample_0464@egnition.com,199.95,PKR,2025-11-08T06:03:00-05:00,2025-11-08T06:04:00-05:00,paid,
6254965752023,1018,8473160122583.0,egnition_sample_5823@egnition.com,119.95,PKR,2025-11-08T06:03:03-05:00,2025-11-08T06:04:03-05:00,refunded,
6254965850327,1019,8473159074007.0,egnition_sample_0376@egnition.com,538.95,PKR,2025-11-08T06:03:05-05:00,2025-11-08T06:04:06-05:00,paid,
6254965948631,1020,8473160024279.0,egnition_sample_7575@egnition.com,109.95,PKR,2025-11-08T06:03:08-05:00,2025-11-08T06:04:09-05:00,paid,
