customer_id,first_name,last_name,email,phone,created_at,updated_at
8473158254807,Brandi,Kertzmann,egnition_sample_0385@egnition.com,,2025-11-08T05:57:56-05:00,2025-11-08T05:58:37-05:00
8473158516951,Garrison,Dietrich,egnition_sample_2143@egnition.com,,2025-11-08T05:57:58-05:00,2025-11-08T06:01:31-05:00
8473158713559,Luisa,Jerde,egnition_sample_0683@egnition.com,,2025-11-08T05:58:00-05:00,2025-11-08T05:58:01-05:00
8473158811863,Lois,Cummerata,egnition_sample_4833@egnition.com,,2025-11-08T05:58:03-05:00,2025-11-08T06:01:34-05:00
8473159074007,Brandi,Kertzmann,egnition_sample_0376@egnition.com,+16619485857,2025-11-08T05:58:05-05:00,2025-11-08T06:03:06-05:00
8473159631063,Dandre,Prohaska,egnition_sample_4816@egnition.com,,2025-11-08T05:58:07-05:00,2025-11-08T06:01:36-05:00
8473159762135,Idella,Fisher,egnition_sample_0464@egnition.com,+15164354271,2025-11-08T05:58:10-05:00,2025-11-08T06:03:00-05:00
8473159893207,Grady,Kihn,egnition_sample_0047@egnition.com,,2025-11-08T05:58:12-05:00,2025-11-08T06:01:39-05:00
8473160024279,Dandre,Prohaska,egnition_sample_7575@egnition.com,+17479699053,2025-11-08T05:58:14-05:00,2025-11-08T06:03:08-05:00
8473160122583,Garrison,Dietrich,egnition_sample_5823@egnition.com,+18289455105,2025-11-08T05:58:16-05:00,2025-11-08T06:03:03-05:00
